date,open,end,highest,lowest,trading volume,business volume,amplitude,turnover,end diff, end diff%
2008-05-12,1.24,1.40,1.46,1.24,182125,541669795.91,733.33,4566.67,1.37,84.95
2008-05-13,1.41,1.63,1.63,1.41,49982,159771423.39,15.71,16.43,0.23,23.31
2008-05-14,1.70,1.68,1.76,1.55,49221,164265608.90,12.88,3.07,0.05,22.96
2008-05-15,1.64,1.68,1.83,1.64,46359,160713642.40,11.31,0.00,0.00,21.62
2008-05-16,1.64,1.60,1.78,1.58,34779,117697746.36,11.90,-4.76,-0.08,16.22
2008-05-19,1.64,1.86,1.86,1.61,27062,94316536.53,15.63,16.25,0.26,12.62
2008-05-20,1.91,1.88,2.01,1.78,33502,123501299.13,12.37,1.08,0.02,15.63
2008-05-21,1.89,1.90,1.92,1.75,27273,98212403.81,9.04,1.06,0.02,12.72
2008-05-22,1.84,1.81,1.93,1.76,22994,83469082.64,8.95,-4.74,-0.09,10.72
2008-05-23,1.77,1.95,1.96,1.77,23505,86204254.71,10.50,7.73,0.14,10.96
2008-05-26,1.92,1.85,1.98,1.83,10721,39240214.64,7.69,-5.13,-0.10,5.00
2008-05-27,1.83,1.72,1.88,1.71,10027,35070271.80,9.19,-7.03,-0.13,4.68
2008-05-28,1.73,1.76,1.82,1.65,8986,31234459.70,9.88,2.33,0.04,4.19
2008-05-29,1.73,1.85,1.88,1.71,8376,30003547.78,9.66,5.11,0.09,3.91
2008-05-30,1.82,1.89,1.93,1.82,8075,29505652.05,5.95,2.16,0.04,3.77
2008-06-02,1.88,1.86,1.88,1.78,4873,17483471.48,5.29,-1.59,-0.03,2.27
2008-06-03,1.85,2.05,2.13,1.84,15974,61035620.64,15.59,10.22,0.19,7.45
2008-06-04,2.03,2.01,2.05,1.92,8818,33519118.74,6.34,-1.95,-0.04,4.11
2008-06-05,1.97,2.03,2.06,1.92,5676,21575724.39,6.97,1.00,0.02,2.65
2008-06-06,2.09,2.06,2.13,2.01,6343,24751934.12,5.91,1.48,0.03,2.96
2008-06-10,1.97,1.91,2.03,1.76,11765,42927016.14,13.11,-7.28,-0.15,5.49
2008-06-11,1.84,1.83,1.91,1.72,12329,44124564.05,9.95,-4.19,-0.08,5.75
2008-06-12,1.79,1.81,1.83,1.69,7006,24486150.51,7.65,-1.09,-0.02,3.27
2008-06-13,1.79,1.61,1.80,1.55,14694,49327860.51,13.81,-11.05,-0.20,6.85
2008-06-16,1.58,1.54,1.61,1.37,18210,56927761.59,14.91,-4.35,-0.07,8.49
2008-06-17,1.50,1.40,1.54,1.40,3460,10744426.66,9.09,-9.09,-0.14,1.61
2008-06-18,1.38,1.52,1.53,1.27,6319,19211650.24,18.57,8.57,0.12,2.95
2008-06-19,1.45,1.34,1.49,1.27,5310,15755302.48,14.47,-11.84,-0.18,2.48
2008-06-20,1.32,1.40,1.48,1.20,4879,14484567.58,20.90,4.48,0.06,2.28
2008-06-23,1.34,1.36,1.39,1.30,3481,10318036.78,6.43,-2.86,-0.04,1.62
2008-06-24,1.35,1.48,1.49,1.32,5584,17197718.77,12.50,8.82,0.12,2.60
2008-06-25,1.45,1.51,1.54,1.41,4710,14873547.80,8.78,2.03,0.03,2.20
2008-06-26,1.51,1.47,1.52,1.40,6417,19945631.50,7.95,-2.65,-0.04,2.99
2008-06-27,1.37,1.33,1.44,1.33,3820,11565177.14,7.48,-9.52,-0.14,1.78
2008-06-30,1.34,1.38,1.39,1.26,2176,6450682.86,9.77,3.76,0.05,1.02
2008-07-01,1.38,1.37,1.38,1.30,1442,4255158.04,5.80,-0.72,-0.01,0.67
2008-07-02,1.37,1.42,1.45,1.34,1974,6020738.40,8.03,3.65,0.05,0.92
2008-07-03,1.35,1.50,1.53,1.32,5114,16040703.78,14.79,5.63,0.08,2.39
2008-07-04,1.47,1.42,1.47,1.39,2156,6619180.72,5.33,-5.33,-0.08,1.01
2008-07-07,1.49,1.47,1.53,1.44,4251,13358120.22,6.34,3.52,0.05,1.98
2008-07-08,1.47,1.53,1.53,1.47,7801,24559413.53,4.08,4.08,0.06,3.64
2008-07-09,1.56,1.51,1.57,1.44,6974,21955923.82,8.50,-1.31,-0.02,3.25
2008-07-10,1.47,1.67,1.71,1.46,10263,33313270.68,16.56,10.60,0.16,4.79
2008-07-11,1.58,1.74,1.74,1.58,8099,27425337.78,9.58,4.19,0.07,3.78
2008-07-14,1.73,1.76,1.80,1.69,6980,24377452.54,6.32,1.15,0.02,3.26
2008-07-15,1.75,1.67,1.76,1.59,3679,12426968.52,9.66,-5.11,-0.09,1.72
2008-07-16,1.62,1.54,1.66,1.48,2461,7952946.82,10.78,-7.78,-0.13,1.15
2008-07-17,1.58,1.48,1.59,1.48,1653,5300707.92,7.14,-3.90,-0.06,0.77
2008-07-18,1.48,1.53,1.55,1.45,1418,4488330.90,6.76,3.38,0.05,0.66
2008-07-21,1.53,1.61,1.64,1.51,3143,10338410.56,8.50,5.23,0.08,1.47
2008-07-22,1.59,1.58,1.64,1.57,1299,4257682.80,4.35,-1.86,-0.03,0.61
2008-07-23,1.56,1.57,1.62,1.56,1623,5331235.90,3.80,-0.63,-0.01,0.76
2008-07-24,1.58,1.58,1.62,1.56,4625,15259795.08,3.82,0.64,0.01,2.16
2008-07-25,1.59,1.64,1.71,1.58,3117,10435192.48,8.23,3.80,0.06,1.45
2008-07-28,1.67,1.68,1.71,1.61,2917,9865125.14,6.10,2.44,0.04,1.36
2008-07-29,1.68,1.67,1.68,1.63,1373,4618373.26,2.98,-0.60,-0.01,0.64
